timestamp,epoch,step,global_step,loss,lr
2025-12-06T22:58:09.841551,49,600,60599,0.786369,0.00055491
2025-12-06T22:58:29.034821,49,700,60699,0.786372,0.00055490
2025-12-06T22:58:48.172763,49,800,60799,0.785875,0.00055489
2025-12-06T22:59:07.315708,49,900,60899,0.786643,0.00055487
2025-12-06T22:59:26.469629,49,1000,60999,0.786142,0.00055486
2025-12-06T22:59:56.577978,49,1100,61099,0.785458,0.00055485
2025-12-06T23:00:15.865060,49,1200,61199,0.786323,0.00055484
2025-12-06T23:00:56.380906,50,100,61349,0.785989,0.00055483
2025-12-06T23:01:15.301753,50,200,61449,0.786214,0.00055482
2025-12-06T23:01:34.539959,50,300,61549,0.786340,0.00055481
2025-12-06T23:01:53.715689,50,400,61649,0.785663,0.00055480
2025-12-06T23:02:12.958547,50,500,61749,0.786139,0.00055478
2025-12-06T23:02:32.136751,50,600,61849,0.785572,0.00055477
2025-12-06T23:02:51.293463,50,700,61949,0.785388,0.00055476
2025-12-06T23:03:10.442662,50,800,62049,0.785926,0.00055475
2025-12-06T23:03:29.598153,50,900,62149,0.787035,0.00055474
2025-12-06T23:03:48.746905,50,1000,62249,0.785752,0.00055473
2025-12-06T23:04:19.193478,50,1100,62349,0.785778,0.00055472
2025-12-06T23:04:38.482246,50,1200,62449,0.786125,0.00055471
2025-12-06T23:05:18.004059,51,100,62599,0.786103,0.00055469
2025-12-06T23:05:36.902575,51,200,62699,0.785376,0.00055468
2025-12-06T23:05:56.108621,51,300,62799,0.785579,0.00055467
2025-12-06T23:06:15.297570,51,400,62899,0.785204,0.00055466
2025-12-06T23:06:34.496876,51,500,62999,0.786048,0.00055465
2025-12-06T23:06:53.788474,51,600,63099,0.785088,0.00055464
2025-12-06T23:07:13.019978,51,700,63199,0.785562,0.00055463
2025-12-06T23:07:32.260332,51,800,63299,0.785463,0.00055462
2025-12-06T23:07:51.474518,51,900,63399,0.785986,0.00055461
2025-12-06T23:08:10.690144,51,1000,63499,0.786301,0.00055460
2025-12-06T23:08:41.722819,51,1100,63599,0.784809,0.00055458
2025-12-06T23:09:01.033372,51,1200,63699,0.786663,0.00055457
2025-12-06T23:09:41.723103,52,100,63849,0.785683,0.00055456
2025-12-06T23:10:00.737912,52,200,63949,0.785974,0.00055455
2025-12-06T23:10:19.991005,52,300,64049,0.784627,0.00055453
2025-12-06T23:10:39.249482,52,400,64149,0.785629,0.00055452
